"DATE","GDPC1","A191RP1Q027SBEA"
"1947-04-01",1932.3,5.3
"1947-07-01",1930.3,6.4
"1947-10-01",1960.7,17.3
"1948-01-01",1989.5,9.3
"1948-04-01",2021.9,10.5
"1948-07-01",2033.2,10
"1948-10-01",2035.3,1.7
"1949-01-01",2007.5,-7.3
"1949-04-01",2000.8,-5.2
"1949-07-01",2022.8,2.3
"1949-10-01",2004.7,-3.3
"1950-01-01",2084.6,16
"1950-04-01",2147.6,14.3
"1950-07-01",2230.4,26.8
"1950-10-01",2273.4,16.2
"1951-01-01",2304.5,21.6
"1951-04-01",2344.5,10
"1951-07-01",2392.8,8.8
"1951-10-01",2398.1,5.6
"1952-01-01",2423.5,4.1
"1952-04-01",2428.5,1.4
"1952-07-01",2446.1,7.6
"1952-10-01",2526.4,15.1
"1953-01-01",2573.4,7.8
"1953-04-01",2593.5,4
"1953-07-01",2578.9,-0.6
"1953-10-01",2539.8,-5.2
"1954-01-01",2528,-0.6
"1954-04-01",2530.7,0.8
"1954-07-01",2559.4,5.1
"1954-10-01",2609.3,9.2
"1955-01-01",2683.8,14.1
"1955-04-01",2727.5,8.4
"1955-07-01",2764.1,8.5
"1955-10-01",2780.8,6.5
"1956-01-01",2770,2.5
"1956-04-01",2792.9,5.8
"1956-07-01",2790.6,4.7
"1956-10-01",2836.2,8.5
"1957-01-01",2854.5,8.3
"1957-04-01",2848.2,1.9
"1957-07-01",2875.9,6.5
"1957-10-01",2846.4,-3.8
"1958-01-01",2772.7,-6
"1958-04-01",2790.9,3.8
"1958-07-01",2855.5,12.3
"1958-10-01",2922.3,11.8
"1959-01-01",2976.6,8.8
"1959-04-01",3049,10.7
"1959-07-01",3043.1,0.7
"1959-10-01",3055.1,3.2
"1960-01-01",3123.2,11
"1960-04-01",3111.3,-0.5
"1960-07-01",3119.1,2.5
"1960-10-01",3081.3,-3.6
"1961-01-01",3102.3,3.7
"1961-04-01",3159.9,8.7
"1961-07-01",3212.6,8
"1961-10-01",3277.7,9.8
"1962-01-01",3336.8,9.7
"1962-04-01",3372.7,5.1
"1962-07-01",3404.8,4.7
"1962-10-01",3418,2.4
"1963-01-01",3456.1,6.4
"1963-04-01",3501.1,6
"1963-07-01",3569.5,8.6
"1963-10-01",3595,6.3
"1964-01-01",3672.7,10.3
"1964-04-01",3716.4,5.9
"1964-07-01",3766.9,7.3
"1964-10-01",3780.2,3.3
"1965-01-01",3873.5,12.5
"1965-04-01",3926.4,7.5
"1965-07-01",4006.2,10.1
"1965-10-01",4100.6,12.8
"1966-01-01",4201.9,13.1
"1966-04-01",4219.1,5
"1966-07-01",4249.2,6.9
"1966-10-01",4285.6,7
"1967-01-01",4324.9,5.5
"1967-04-01",4328.7,2.4
"1967-07-01",4366.1,7.5
"1967-10-01",4401.2,7.9
"1968-01-01",4490.6,13.3
"1968-04-01",4566.4,11.5
"1968-07-01",4599.3,7
"1968-10-01",4619.8,7.7
"1969-01-01",4691.6,10.8
"1969-04-01",4706.7,6.6
"1969-07-01",4736.1,8.4
"1969-10-01",4715.5,3.4
"1970-01-01",4707.1,5
"1970-04-01",4715.4,6.4
"1970-07-01",4757.2,7
"1970-10-01",4708.3,1.1
"1971-01-01",4834.3,18.1
"1971-04-01",4861.9,7.8
"1971-07-01",4900,7.4
"1971-10-01",4914.3,4.6
"1972-01-01",5002.4,14.2
"1972-04-01",5118.3,12.3
"1972-07-01",5165.4,7.7
"1972-10-01",5251.2,12.3
"1973-01-01",5380.5,15.4
"1973-04-01",5441.5,11.1
"1973-07-01",5411.9,5.5
"1973-10-01",5462.4,12.3
"1974-01-01",5417,4.3
"1974-04-01",5431.3,11
"1974-07-01",5378.7,7.8
"1974-10-01",5357.2,10.5
"1975-01-01",5292.4,4.2
"1975-04-01",5333.2,9.4
"1975-07-01",5421.4,14.6
"1975-10-01",5494.4,12.7
"1976-01-01",5618.5,14
"1976-04-01",5661,7.3
"1976-07-01",5689.8,7.4
"1976-10-01",5732.5,10.5
"1977-01-01",5799.2,11.6
"1977-04-01",5913,14.3
"1977-07-01",6017.6,12.6
"1977-10-01",6018.2,9
"1978-01-01",6039.2,7.6
"1978-04-01",6274,25.2
"1978-07-01",6335.3,11.1
"1978-10-01",6420.3,14.6
"1979-01-01",6433,8.2
"1979-04-01",6440.8,10.6
"1979-07-01",6487.1,12
"1979-10-01",6503.9,9.3
"1980-01-01",6524.9,10
"1980-04-01",6392.6,0.5
"1980-07-01",6382.9,8.9
"1980-10-01",6501.2,20
"1981-01-01",6635.7,19.8
"1981-04-01",6587.3,4.6
"1981-07-01",6662.9,12.4
"1981-10-01",6585.1,2.8
"1982-01-01",6475,-1.2
"1982-04-01",6510.2,7.2
"1982-07-01",6486.8,4.4
"1982-10-01",6493.1,4.9
"1983-01-01",6578.2,8.8
"1983-04-01",6728.3,12.4
"1983-07-01",6860,12.7
"1983-10-01",7001.5,11.7
"1984-01-01",7140.6,12.9
"1984-04-01",7266,10.9
"1984-07-01",7337.5,7.4
"1984-10-01",7396,6
"1985-01-01",7469.5,8.9
"1985-04-01",7537.9,6.3
"1985-07-01",7655.2,8.9
"1985-10-01",7712.6,5.4
"1986-01-01",7784.1,5.8
"1986-04-01",7819.8,3.5
"1986-07-01",7898.6,5.8
"1986-10-01",7939.5,4.4
"1987-01-01",7995,5.8
"1987-04-01",8084.7,7.4
"1987-07-01",8158,6.7
"1987-10-01",8292.7,10.4
"1988-01-01",8339.3,5.5
"1988-04-01",8449.5,9.5
"1988-07-01",8498.3,7.2
"1988-10-01",8610.9,8.8
"1989-01-01",8697.7,8.7
"1989-04-01",8766.1,7.5
"1989-07-01",8831.5,6
"1989-10-01",8850.2,3.7
"1990-01-01",8947.1,9.1
"1990-04-01",8981.7,5.8
"1990-07-01",8983.9,3.7
"1990-10-01",8907.4,-0.4
"1991-01-01",8865.6,2.1
"1991-04-01",8934.4,6
"1991-07-01",8977.3,5
"1991-10-01",9016.4,4
"1992-01-01",9123,6.6
"1992-04-01",9223.5,7.2
"1992-07-01",9313.2,5.9
"1992-10-01",9406.5,6.9
"1993-01-01",9424.1,3.1
"1993-04-01",9480.1,4.9
"1993-07-01",9526.3,4.4
"1993-10-01",9653.5,7.7
"1994-01-01",9748.2,6
"1994-04-01",9881.4,7.7
"1994-07-01",9939.7,4.6
"1994-10-01",10052.5,6.9
"1995-01-01",10086.9,3.7
"1995-04-01",10122.1,3.2
"1995-07-01",10208.8,5.5
"1995-10-01",10281.2,4.9
"1996-01-01",10348.7,4.9
"1996-04-01",10529.4,8.8
"1996-07-01",10626.8,4.9
"1996-10-01",10739.1,6.4
"1997-01-01",10820.9,5.7
"1997-04-01",10984.2,7.3
"1997-07-01",11124,6.7
"1997-10-01",11210.3,4.5
"1998-01-01",11321.2,4.7
"1998-04-01",11431,4.8
"1998-07-01",11580.6,6.9
"1998-10-01",11770.7,8.1
"1999-01-01",11864.7,5.3
"1999-04-01",11962.5,4.7
"1999-07-01",12113.1,6.7
"1999-10-01",12323.3,9.1
"2000-01-01",12359.1,4.3
"2000-04-01",12592.5,10.2
"2000-07-01",12607.7,3.1
"2000-10-01",12679.3,4.5
"2001-01-01",12643.3,1.4
"2001-04-01",12710.3,5.1
"2001-07-01",12670.1,0
"2001-10-01",12705.3,2.3
"2002-01-01",12822.3,5.1
"2002-04-01",12893,3.8
"2002-07-01",12955.8,3.8
"2002-10-01",12964,2.4
"2003-01-01",13031.2,4.6
"2003-04-01",13152.1,5.1
"2003-07-01",13372.4,9.3
"2003-10-01",13528.7,6.8
"2004-01-01",13606.5,5.9
"2004-04-01",13706.2,6.6
"2004-07-01",13830.8,6.3
"2004-10-01",13950.4,6.4
"2005-01-01",14099.1,8.3
"2005-04-01",14172.7,5.1
"2005-07-01",14291.8,7.3
"2005-10-01",14373.4,5.4
"2006-01-01",14546.1,8.2
"2006-04-01",14589.6,4.5
"2006-07-01",14602.6,3.2
"2006-10-01",14716.9,4.6
"2007-01-01",14726,4.8
"2007-04-01",14838.7,5.4
"2007-07-01",14938.5,4.2
"2007-10-01",14991.8,3.2
"2008-01-01",14889.5,-0.5
"2008-04-01",14963.4,4
"2008-07-01",14891.6,0.8
"2008-10-01",14577,-7.7
"2009-01-01",14375,-4.5
"2009-04-01",14355.6,-1.2
"2009-07-01",14402.5,1.2
"2009-10-01",14541.9,5.2
"2010-01-01",14604.8,3.2
"2010-04-01",14745.9,5.8
"2010-07-01",14845.5,4.6
"2010-10-01",14939,4.7
"2011-01-01",14881.3,0.2
"2011-04-01",14989.6,6
"2011-07-01",15021.1,3.3
"2011-10-01",15190.3,5.2
"2012-01-01",15291,4.9
"2012-04-01",15362.4,3.8
"2012-07-01",15380.8,2.7
"2012-10-01",15384.3,1.7
"2013-01-01",15491.9,4.4
"2013-04-01",15521.6,1.6
"2013-07-01",15641.3,5.1
"2013-10-01",15793.9,6.1
"2014-01-01",15757.6,0.7
"2014-04-01",15935.8,7
"2014-07-01",16139.5,7.1
"2014-10-01",16220.2,2.6
"2015-01-01",16350,3.2
"2015-04-01",16460.9,5
"2015-07-01",16527.6,3
"2015-10-01",16547.6,1.3
"2016-01-01",16571.6,0.8
"2016-04-01",16663.5,4.7
"2016-07-01",16778.1,4.2
"2016-10-01",16851.4,3.8
"2017-01-01",16903.2,3.3
"2017-04-01",17010.7,3.6
